#Release 14.2 - par P.28xd (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Mon Apr 24 14:04:55 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       i2c_map.ncd
#OUTPUT FILE:      i2c_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          cp132
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,PROG_B,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,out_data<9>,IOB,IO_L11P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A4,,,NC,,,,,,,,,,,,
A5,,,VCCAUX,,,,,,,,2.5,,,,
A6,,,VCCO_0,,,0,,,,,2.50,,,,
A7,out_data<3>,IOB,IO_L07P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A8,,,GND,,,,,,,,,,,,
A9,out_data<2>,IOB,IO_L05N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A10,anode<4>,IOB,IO_L04P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A11,,,VCCINT,,,,,,,,1.2,,,,
A12,,,NC,,,,,,,,,,,,
A13,sda,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A14,,,TDO,,,,,,,,,,,,
B1,out_data<12>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B2,out_data<11>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B3,out_data<10>,IOB,IO_L11N_0/HSWAP,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B4,,IBUF,IP,UNUSED,,0,,,,,,,,,
B5,out_data<7>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B6,out_data<5>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B7,out_data<4>,IOB,IO_L07N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B8,clk,IBUF,IP_L06P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B9,out_data<1>,IOB,IO_L05P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B10,,,VCCO_0,,,0,,,,,2.50,,,,
B11,,,NC,,,,,,,,,,,,
B12,,,NC,,,,,,,,,,,,
B13,,,TCK,,,,,,,,,,,,
B14,,,TMS,,,,,,,,,,,,
C1,,,NC,,,,,,,,,,,,
C2,out_data<14>,IOB,IO_L02N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C3,out_data<13>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C4,,,NC,,,,,,,,,,,,
C5,out_data<8>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,out_data<6>,IOB,IO_L08N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C7,,,GND,,,,,,,,,,,,
C8,,DIFFSI,IP_L06N_0/GCLK9,UNUSED,,0,,,,,,,,,
C9,out_data<0>,IOB,IO_L04N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,,IBUF,IP,UNUSED,,0,,,,,,,,,
C12,scl,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C13,,DIFFS,IO_L10N_1/LDC2,UNUSED,,1,,,,,,,,,
C14,,DIFFM,IO_L10P_1/LDC1,UNUSED,,1,,,,,,,,,
D1,,,NC,,,,,,,,,,,,
D2,out_data<15>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D3,,,VCCINT,,,,,,,,1.2,,,,
D12,,DIFFS,IO_L09N_1/LDC0,UNUSED,,1,,,,,,,,,
D13,,DIFFM,IO_L09P_1/HDC,UNUSED,,1,,,,,,,,,
D14,,,NC,,,,,,,,,,,,
E1,,,VCCO_3,,,3,,,,,2.50,,,,
E2,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
E3,,,GND,,,,,,,,,,,,
E12,,,VCCAUX,,,,,,,,2.5,,,,
E13,,,VCCO_1,,,1,,,,,2.50,,,,
E14,,,GND,,,,,,,,,,,,
F1,out_data<18>,IOB,IO_L05P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F2,out_data<17>,IOB,IO_L04N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F3,out_data<16>,IOB,IO_L04P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F12,anode<3>,IOB,IO/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F13,,DIFFS,IO_L08N_1/A1,UNUSED,,1,,,,,,,,,
F14,,DIFFM,IO_L08P_1/A2,UNUSED,,1,,,,,,,,,
G1,outreg<15>,IOB,IO_L05N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,out_data<19>,IOB,IO_L06P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G12,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
G13,,DIFFS,IO_L07N_1/A3/RHCLK7,UNUSED,,1,,,,,,,,,
G14,,DIFFM,IO_L07P_1/A4/RHCLK6,UNUSED,,1,,,,,,,,,
H1,out_data<20>,IOB,IO_L06N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H2,out_data<21>,IOB,IO_L07P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H3,out_data<22>,IOB,IO_L07N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H12,cathode<5>,IOB,IO_L06N_1/A5/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H13,,DIFFM,IO_L06P_1/A6/RHCLK4/IRDY1,UNUSED,,1,,,,,,,,,
H14,,,GND,,,,,,,,,,,,
J1,,,GND,,,,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,2.50,,,,
J3,out_data<23>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J12,anode<2>,IOB,IO_L04N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J13,,DIFFM,IO_L05P_1/A8/RHCLK2,UNUSED,,1,,,,,,,,,
J14,ack_out<0>,IOB,IO_L05N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K1,,,VCCAUX,,,,,,,,2.5,,,,
K2,,,NC,,,,,,,,,,,,
K3,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
K12,,,GND,,,,,,,,,,,,
K13,ack_out<2>,IOB,IO/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K14,anode<0>,IOB,IO_L04P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
